title,address,city,state,zip_code,price,beds,baths,area,region
House For Sale,248 S Manning Blvd,Albany ,NY ,12208,229900,4,3,1920,albany
New Construction,34 Andriana Ln # PB3AZ0,Albany ,NY ,12204,,3,3,,albany
For Sale by Owner,23 Cambridge Rd,Albany ,NY ,12203,224500,3,2,1710,albany
House For Sale,39 W Parkwood St,Albany ,NY ,12203,245000,4,2,1552,albany
New Construction,34 Andriana Ln # DM5XZG,Albany ,NY ,12204,,3,3,,albany
House For Sale,69 Quail St,Albany ,NY ,12206,90000,6,,2464,albany
Apartment For Sale,118 Kent St,Albany ,NY ,12206,184900,6,2,2308,albany
New Construction,25 Kent Ter,Albany ,NY ,12203,279000,3,3,1800,albany
House For Sale,39 Orchard Ave,Albany ,NY ,12203,192900,3,2,1452,albany
House For Sale,97 N Pine Ave,Albany ,NY ,12203,215000,4,2,1660,albany
House For Sale,44 Fliegel Ave,Albany ,NY ,12203,158000,,,,albany
House For Sale,93 Rose Ct,Albany ,NY ,12209,189900,3,3,1638,albany
House For Sale,341 Sherman St,Albany ,NY ,12206,10000,,,,albany
New Construction,34 Andriana Ln # KPFLYU,Albany ,NY ,12204,,3,3,,albany
Lot/Land For Sale,308 1st St,Albany ,NY ,12206,500,,,,albany
Lot/Land For Sale,26 Fairway Ct,Albany ,NY ,12208,75000,,,,albany
Condo For Sale,73 Crestwood Ter,Albany ,NY ,12203,120000,4,3,1606,albany
House For Sale,57 Liebel St,Albany ,NY ,12202,10000,,,,albany
Lot/Land For Sale,66 N Lake Ave,Albany ,NY ,12206,5000,,,,albany
House For Sale,44 Barrows St,Albany ,NY ,12209,225000,5,3,3180,albany
Lot/Land For Sale,62 Lark St,Albany ,NY ,12210,500,,,,albany
House For Sale,74 Hurlbut St,Albany ,NY ,12209,90000,,,,albany
Condo For Sale,409 Madison Ave APT 203,Albany ,NY ,12210,145000,1,1,766,albany
House For Sale,235 Davis Ave,Albany ,NY ,12208,195000,3,1,1456,albany
House For Sale,88 Forest Ave,Albany ,NY ,12208,159900,3,1,1030,albany
For Sale by Owner,80 Andriana Ln,Albany ,NY ,12204,289000,3,3,1776,albany
Townhouse For Sale,55 Krumkill Rd,Albany ,NY ,12208,304900,3,3,2138,albany
House For Sale,224 Hansen Ave,Albany ,NY ,12208,169900,3,2,1120,albany
House For Sale,17 Woodlawn Ave,Albany ,NY ,12208,174000,3,,1959,albany
House For Sale,111 Daytona Ave,Albany ,NY ,12203,199777,4,2,1470,albany
House For Sale,7 Olive Tree Ln,Albany ,NY ,12208,395000,4,3,2895,albany
House For Sale,428 Delaware Ave,Albany ,NY ,12209,72500,3,1,1456,albany
House For Sale,15 Cardinal Ave,Albany ,NY ,12208,188500,3,1,1366,albany
House For Sale,35 Clermont St,Albany ,NY ,12203,169900,3,2,1336,albany
House For Sale,32 Providence St,Albany ,NY ,12203,169900,2,1,1100,albany
House For Sale,201 Greenwich Dr,Albany ,NY ,12203,134900,2,1,1050,albany
House For Sale,373 Partridge St,Albany ,NY ,12208,169900,3,1,1104,albany
For Sale by Owner,2 Danker Ave,Albany ,NY ,12206,259900,3,2,1850,albany
Apartment For Sale,347 2nd Ave,Albany ,NY ,12209,134900,6,2,2048,albany
Apartment For Sale,113 N Allen St,Albany ,NY ,12203,205000,6,2,2756,albany
House For Sale,32 Edgecomb St,Albany ,NY ,12209,289900,3,2,2100,albany
Foreclosure,5 Villa Ave,Albany ,NY ,12203,169900,4,2,1600,albany
House For Sale,688 Morris St,Albany ,NY ,12208,159900,3,2,1355,albany
House For Sale,289 S Main Ave,Albany ,NY ,12208,249900,3,2,2016,albany
House For Sale,96 Hollywood Ave,Albany ,NY ,12208,105000,3,1,1161,albany
House For Sale,220 Woodsfield Dr,Guilderland ,NY ,12203,432497,4,3,3015,albany
House For Sale,302 Westwoods Ct,Guilderland ,NY ,12203,398507,4,3,2589,albany
House For Sale,500 Morris St,Albany ,NY ,12208,179000,6,2,1800,albany
