title,address,city,state,zip_code,price,beds,baths,area,region
House For Sale,4187 Cheryl Dr,Binghamton ,NY ,13903,132900,3,1,1170,binghamton
Lot/Land For Sale,50 Hotchkiss St,Binghamton ,NY ,13903,25000,,,,binghamton
For Sale by Owner,201 Murray St,Binghamton ,NY ,13905,65000,6,2,2248,binghamton
House For Sale,79 Mary St,Binghamton ,NY ,13903,64900,3,1,1152,binghamton
Apartment For Sale,157 Hawley St,Binghamton ,NY ,13901,34900,,,,binghamton
House For Sale,32 Highland Ave,Binghamton ,NY ,13905,119900,4,2,1908,binghamton
House For Sale,54 Lincoln Ave,Binghamton ,NY ,13905,139000,3,2,1778,binghamton
House For Sale,121 Schubert St,Binghamton ,NY ,13905,140000,4,2,2340,binghamton
House For Sale,69 Highland Ave,Binghamton ,NY ,13905,65000,3,2,16088,binghamton
House For Sale,244 Bevier St,Binghamton ,NY ,13904,117000,2,2,1033,binghamton
Apartment For Sale,18 Morgan St,Binghamton ,NY ,13901,37500,,,,binghamton
House For Sale,42 Spring Forest Ave,Binghamton ,NY ,13905,44516,3,10,1386,binghamton
Foreclosure,10 Bellevue Ave,Binghamton ,NY ,13905,142500,,,,binghamton
Apartment For Sale,61 Lake Ave,Binghamton ,NY ,13905,72500,,,,binghamton
House For Sale,87 Tompkins St,Binghamton ,NY ,13903,60000,2,1,1407,binghamton
Auction,20 Bigelow St,Binghamton ,NY ,13904,,3,1,1624,binghamton
House For Sale,6 Schiller St,Binghamton ,NY ,13905,114900,4,2,1560,binghamton
House For Sale,166 Broad Ave,Binghamton ,NY ,13904,69900,3,1,1043,binghamton
House For Sale,4163 Brady Hill Rd,Binghamton ,NY ,13903,179000,3,2,1402,binghamton
Auction,5 Carhart Ave,Binghamton ,NY ,13905,,3,2,1732,binghamton
House For Sale,133 Seminary Ave,Binghamton ,NY ,13905,124900,4,2,1690,binghamton
House For Sale,16 Bennett Ave,Binghamton ,NY ,13905,149900,3,2,1480,binghamton
Auction,57 Bevier St,Binghamton ,NY ,13901,,3,2,2610,binghamton
House For Sale,4 Gordon Pl,Binghamton ,NY ,13905,89900,3,2,1512,binghamton
For Sale by Owner,10 Foland Rd,Binghamton ,NY ,13903,725000,5,5,5600,binghamton
House For Sale,2 Spurr Ave,Binghamton ,NY ,13903,130000,4,2,2017,binghamton
House For Sale,85 Kneeland Ave,Binghamton ,NY ,13905,107085,3,2,1422,binghamton
House For Sale,206 Old Pennsylvania Ave,Binghamton ,NY ,13903,145000,3,2,1902,binghamton
House For Sale,8 Gold St,Binghamton ,NY ,13904,45000,3,1,1627,binghamton
Lot/Land For Sale,94 Felters Rd,Binghamton ,NY ,13903,98500,,,,binghamton
House For Sale,38 Oakridge Dr,Binghamton ,NY ,13903,169900,4,3,2421,binghamton
House For Sale,209 E Frederick St,Binghamton ,NY ,13904,89900,4,1,1702,binghamton
House For Sale,102 Chapin St,Binghamton ,NY ,13905,85000,5,2,1218,binghamton
House For Sale,16 Linda Dr,Binghamton ,NY ,13905,119900,3,3,2302,binghamton
Apartment For Sale,16 Parsons St,Binghamton ,NY ,13903,69900,,,,binghamton
House For Sale,12 Duane Ave,Binghamton ,NY ,13903,84200,4,2,1554,binghamton
House For Sale,155 Mary St,Binghamton ,NY ,13903,49400,3,1,1280,binghamton
House For Sale,6 Sherwood Ave,Binghamton ,NY ,13903,120000,2,2,1126,binghamton
House For Sale,76 Kneeland Ave,Binghamton ,NY ,13905,169900,4,2,1944,binghamton
Pre-Foreclosure (Auction),E Frederick St,Binghamton ,NY ,13904,,6,,2280,binghamton
House For Sale,97 Burr Ave,Binghamton ,NY ,13903,139000,4,2,3168,binghamton
House For Sale,52 Bigelow St,Binghamton ,NY ,13904,79900,3,2,1800,binghamton
House For Sale,69 Kendall Ave,Binghamton ,NY ,13903,123900,4,1,1141,binghamton
House For Sale,28 Brookfield Rd,Binghamton ,NY ,13903,179900,3,2,1883,binghamton
Lot/Land For Sale,1997 Kimball St,Binghamton ,NY ,13903,7400,,,,binghamton
House For Sale,111 Beethoven St,Binghamton ,NY ,13905,125000,5,2,2016,binghamton
House For Sale,55 Morgan Rd,Binghamton ,NY ,13903,72500,2,1,700,binghamton
House For Sale,155 E Frederick St,Binghamton ,NY ,13904,134000,6,2,2560,binghamton
House For Sale,154 Crary Ave,Binghamton ,NY ,13905,139900,4,2,1248,binghamton
House For Sale,25 High St,Binghamton ,NY ,13903,57500,3,2,1352,binghamton
House For Sale,25 High St,Binghamton ,NY ,13903,57500,3,2,1352,binghamton
House For Sale,87 89 91 Decatur St,Binghamton ,NY ,13903,76000,3,1,1160,binghamton
Auction,88 Merrill St,Binghamton ,NY ,13905,,5,2,1872,binghamton
Pre-Foreclosure (Auction),Conklin Ave,Binghamton ,NY ,13903,,2,1,850,binghamton
Pre-Foreclosure (Auction),Crestmont Rd,Binghamton ,NY ,13905,,2,1,916,binghamton
Apartment For Sale,2 Linden St,Binghamton ,NY ,13901,89900,,,,binghamton
For Sale by Owner,1279 Vestal Ave,Binghamton ,NY ,13903,69900,6,2,2220,binghamton
Foreclosure,253 Robinson St,Binghamton ,NY ,13904,46900,2,1,2450,binghamton
Pre-Foreclosure (Auction),Mcnamara Ave,Binghamton ,NY ,13903,,6,2,2222,binghamton
House For Sale,36 Felters Rd,Binghamton ,NY ,13903,69900,2,1,1716,binghamton
Apartment For Sale,41 Broome St # 43,Binghamton ,NY ,13903,89900,3,1,2912,binghamton
House For Sale,217 Old Pennsylvania Ave,Binghamton ,NY ,13903,193000,3,2,1850,binghamton
Pre-Foreclosure (Auction),Bevier St,Binghamton ,NY ,13901,,3,2,2610,binghamton
House For Sale,32 Cleveland Ave,Binghamton ,NY ,13905,119900,4,2,1800,binghamton
Apartment For Sale,28 Mason Ave,Binghamton ,NY ,13904,62000,5,2,2056,binghamton
House For Sale,191 Murray St,Binghamton ,NY ,13905,49900,2,2,1246,binghamton
Pre-Foreclosure (Auction),Burr Ave,Binghamton ,NY ,13903,,,,,binghamton
