title,address,city,state,zip_code,price,beds,baths,area,region
Apartment For Sale,56 Sweeney St,Buffalo ,NY ,14211,64900,5,2,2105,buffalo
House For Sale,59 Wyandotte Ave,Buffalo ,NY ,14207,149000,5,2,1250,buffalo
Apartment For Sale,55 Reservation St,Buffalo ,NY ,14207,109900,4,2,1584,buffalo
For Sale by Owner,280 Roslyn St,Buffalo ,NY ,14215,79900,3,1,920,buffalo
House For Sale,151 Woodward Ave,Buffalo ,NY ,14214,299900,4,3,2300,buffalo
Apartment For Sale,338 Longnecker St,Buffalo ,NY ,14206,54900,5,2,1770,buffalo
House For Sale,38 Hallam Rd,Buffalo ,NY ,14216,899000,5,4,3840,buffalo
House For Sale,57 Manhattan Ave,Buffalo ,NY ,14215,69900,4,1,1354,buffalo
House For Sale,311 Sanders Rd,Buffalo ,NY ,14216,189900,3,2,1540,buffalo
House For Sale,12 Greenfield St,Buffalo ,NY ,14214,229000,3,2,1738,buffalo
House For Sale,137 Hamlin Rd,Buffalo ,NY ,14208,149900,5,2,1872,buffalo
Apartment For Sale,290 Lexington Ave,Buffalo ,NY ,14222,424900,4,3,2965,buffalo
House For Sale,5 Butler Ave,Buffalo ,NY ,14208,69900,8,2,2991,buffalo
House For Sale,38 Deer St,Buffalo ,NY ,14207,80000,4,1,988,buffalo
House For Sale,209 Wellington Rd,Buffalo ,NY ,14216,295000,5,2,2604,buffalo
Apartment For Sale,222 Jewett Ave,Buffalo ,NY ,14214,99900,6,,2400,buffalo
House For Sale,136 Meadow Rd,Buffalo ,NY ,14216,589000,3,4,2801,buffalo
Apartment For Sale,35 Tuxedo Pl,Buffalo ,NY ,14207,119900,5,2,2339,buffalo
Townhouse For Sale,900 Delaware Ave APT 105,Buffalo ,NY ,14209,269900,2,2,1255,buffalo
House For Sale,20 Glendale Pl,Buffalo ,NY ,14208,225000,4,2,1400,buffalo
House For Sale,35 Robins St,Buffalo ,NY ,14220,175000,3,1,1418,buffalo
For Sale by Owner,253 Whitney Pl,Buffalo ,NY ,14201,169999,2,1,1000,buffalo
Apartment For Sale,61 Bird Ave,Buffalo ,NY ,14213,85000,5,2,1511,buffalo
House For Sale,788 Abbott Rd,Buffalo ,NY ,14220,159900,3,1,1369,buffalo
House For Sale,71 Deshler St,Buffalo ,NY ,14212,35000,3,1,1320,buffalo
House For Sale,86 Deshler St,Buffalo ,NY ,14212,35000,3,1,1564,buffalo
Apartment For Sale,327 Saint Lawrence Ave,Buffalo ,NY ,14216,159900,4,2,1860,buffalo
Apartment For Sale,214 Monroe St,Buffalo ,NY ,14206,35000,5,2,2200,buffalo
House For Sale,24 Hirschbeck St,Buffalo ,NY ,14212,39900,4,1,1354,buffalo
Apartment For Sale,94 Germain St,Buffalo ,NY ,14207,20000,6,2,3622,buffalo
Apartment For Sale,16 Roma Ave,Buffalo ,NY ,14215,74900,6,2,2002,buffalo
House For Sale,645 S Ogden St,Buffalo ,NY ,14206,89900,3,1,1134,buffalo
House For Sale,21 Poultney Ave,Buffalo ,NY ,14215,61900,3,1,1179,buffalo
House For Sale,23 Park St,Buffalo ,NY ,14201,329900,4,2,2444,buffalo
House For Sale,195 Barnard St,Buffalo ,NY ,14206,89900,3,1,1239,buffalo
House For Sale,27 University Ave,Buffalo ,NY ,14214,199900,4,2,1953,buffalo
House For Sale,103 Lang Ave,Buffalo ,NY ,14215,59000,3,1,936,buffalo
House For Sale,474 Weimar St,Buffalo ,NY ,14206,89900,2,1,912,buffalo
House For Sale,1085 Tifft St,Buffalo ,NY ,14220,132900,3,2,1524,buffalo
Apartment For Sale,456 Plymouth Ave,Buffalo ,NY ,14213,164900,6,2,2259,buffalo
House For Sale,35 Mandan St,Buffalo ,NY ,14216,139900,3,2,1578,buffalo
House For Sale,292 15th St,Buffalo ,NY ,14213,199900,3,2,1600,buffalo
House For Sale,731 W Ferry St APT 6KL,Buffalo ,NY ,14222,229000,2,2,1105,buffalo
Townhouse For Sale,731 W Ferry,Buffalo ,NY ,14222,229000,2,2,1105,buffalo
Apartment For Sale,374 Davidson Ave,Buffalo ,NY ,14215,54900,4,2,1672,buffalo
Apartment For Sale,88 W Delavan Ave,Buffalo ,NY ,14213,75000,6,,2000,buffalo
