title,address,city,state,zip_code,price,beds,baths,area,region
House For Sale,267 Rigi Ave,Syracuse ,NY ,13206,84900,3,1,1102,syracuse
House For Sale,218 Lilac St,Syracuse ,NY ,13208,44900,3,1,1156,syracuse
Auction,134 Claire Rd,Syracuse ,NY ,13214,,2,1,1100,syracuse
House For Sale,178 Hickok Ave,Syracuse ,NY ,13206,164900,5,2,2080,syracuse
Apartment For Sale,1036 Danforth St & Grant Blvd St,Syracuse ,NY ,13208,99900,5,2,2111,syracuse
House For Sale,1133 N Glencove Rd,Syracuse ,NY ,13206,124900,4,2,1638,syracuse
Apartment For Sale,1036 Danforth St,Syracuse ,NY ,13208,99900,5,2,2111,syracuse
Apartment For Sale,800 Teall Ave,Syracuse ,NY ,13206,94900,4,2,1719,syracuse
For Sale by Owner,239 Homecroft Rd,Syracuse ,NY ,13206,145000,3,2,1588,syracuse
House For Sale,116 Dearborn Pl,Syracuse ,NY ,13205,5000,4,2,1966,syracuse
House For Sale,201 Croyden Rd,Syracuse ,NY ,13224,187500,4,3,2662,syracuse
House For Sale,190 Robineau Rd,Syracuse ,NY ,13207,249000,4,2,2481,syracuse
House For Sale,865 Westmoreland Ave,Syracuse ,NY ,13210,134900,4,2,1825,syracuse
House For Sale,116 White St,Syracuse ,NY ,13204,49500,4,2,1470,syracuse
House For Sale,202 Sedgwick Dr,Syracuse ,NY ,13203,349900,6,4,2959,syracuse
House For Sale,1616 Stolp Ave,Syracuse ,NY ,13207,119900,3,1,1573,syracuse
For Sale by Owner,222 Longmeadow Dr,Syracuse ,NY ,13205,157900,3,3,1380,syracuse
House For Sale,118 Hampshire Rd,Syracuse ,NY ,13203,329000,7,6,4387,syracuse
For Sale by Owner,244 Nichols Ave,Syracuse ,NY ,13206,75000,3,2,1598,syracuse
House For Sale,103 Milton Ave,Syracuse ,NY ,13204,115900,3,2,2310,syracuse
House For Sale,479 Brattle Rd,Syracuse ,NY ,13203,154900,3,2,2048,syracuse
House For Sale,261 Rider Ave,Syracuse ,NY ,13207,199900,3,2,1436,syracuse
House For Sale,179 Jasper St,Syracuse ,NY ,13203,79900,5,1,2064,syracuse
House For Sale,125 Goodrich Ave,Syracuse ,NY ,13210,84500,3,2,1758,syracuse
House For Sale,908 Maryland Ave,Syracuse ,NY ,13210,189900,4,3,2100,syracuse
Foreclosure,306 Willumae Dr,Syracuse ,NY ,13208,59900,2,1,970,syracuse
House For Sale,152 Dawes Ave,Syracuse ,NY ,13205,39900,4,7,1188,syracuse
House For Sale,1463 Comstock Ave,Syracuse ,NY ,13210,130000,3,1,1134,syracuse
House For Sale,264 Robineau Rd,Syracuse ,NY ,13207,209900,4,4,2720,syracuse
House For Sale,211 Summit Ave,Syracuse ,NY ,13207,249900,4,3,3006,syracuse
House For Sale,1008 Emerson Ave,Syracuse ,NY ,13204,54900,4,1,1032,syracuse
House For Sale,1017 Northway St,Syracuse ,NY ,13224,59900,6,2,1362,syracuse
House For Sale,1504 James St,Syracuse ,NY ,13203,398000,6,6,3442,syracuse
Apartment For Sale,1223 Jamesville Ave,Syracuse ,NY ,13210,179500,5,2,1484,syracuse
House For Sale,202 Grant Blvd,Syracuse ,NY ,13206,84900,3,2,1872,syracuse
House For Sale,2107 S State St,Syracuse ,NY ,13205,5000,4,2,1964,syracuse
Apartment For Sale,1006 Lemoyne Ave,Syracuse ,NY ,13208,24900,5,3,2098,syracuse
House For Sale,146 W Warrington Rd,Syracuse ,NY ,13205,105000,3,2,1362,syracuse
House For Sale,142 Burns Ave,Syracuse ,NY ,13206,109900,3,2,1296,syracuse
Apartment For Sale,402 Bradley St # 4,Syracuse ,NY ,13204,36000,6,2,3158,syracuse
House For Sale,120 Huron St,Syracuse ,NY ,13207,27600,4,2,1152,syracuse
House For Sale,203 Berkshire Ave,Syracuse ,NY ,13208,134900,3,3,1559,syracuse
House For Sale,5 Brattle Rd,Syracuse ,NY ,13203,399900,4,6,3696,syracuse
